date,run_local_time,issue_local_time,issued_day_utc,mae_forecast,mae_lstm,rmse_forecast,rmse_lstm,mae_improvement_lstm_vs_forecast,rmse_improvement_lstm_vs_forecast,avg_actual_wind_speed,avg_forecast_wind_speed,avg_lstm_wind_speed,n_points,details_csv,snapshot_csv,evaluation_type,data_source
2026-05-07,2026-06-09T11:09:24.580840+02:00,2026-05-05T07:02:22.256000+02:00,2026-05-05,1.899451754385965,1.6270448924156655,2.190747523437988,1.9833300200257111,0.2724068619702995,0.20741750341227694,5.2130482456140355,6.333333333333333,3.865891228119532,24,next_day_wind_model/artifacts/daily_error_details/20260507_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260506-071841_target_20260507.csv,day_ahead_frozen,prediction_log
2026-05-08,2026-06-09T11:09:24.580840+02:00,2026-05-06T07:02:22.476000+02:00,2026-05-06,3.2952850877192983,1.3944099973691138,3.5223449510650755,1.6346389637690542,1.9008750903501845,1.8877059872960213,3.4547149122807017,6.375,3.0283160557349524,24,next_day_wind_model/artifacts/daily_error_details/20260508_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260507-072046_target_20260508.csv,day_ahead_frozen,prediction_log
2026-05-09,2026-06-09T11:09:24.580840+02:00,2026-05-07T07:02:37.388000+02:00,2026-05-07,2.4038377192982456,1.1935685244568608,3.0919147477702587,1.3772459364259466,1.2102691948413848,1.714668811344312,3.846162280701755,5.916666666666667,3.3007001876831055,24,next_day_wind_model/artifacts/daily_error_details/20260509_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260508-071853_target_20260509.csv,day_ahead_frozen,prediction_log
2026-05-10,2026-06-09T11:09:24.580840+02:00,2026-05-08T07:02:25.204000+02:00,2026-05-08,2.137061403508772,1.94259468285661,2.57897366169912,2.2205668627577033,0.19446672065216175,0.3584067989414166,8.071271929824562,10.0,6.226290136575699,24,next_day_wind_model/artifacts/daily_error_details/20260510_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260509-071853_target_20260510.csv,day_ahead_frozen,prediction_log
2026-05-11,2026-06-09T11:09:24.580840+02:00,2026-05-09T07:02:23.996000+02:00,2026-05-09,2.3935307017543863,2.496435031137968,2.8842729035865875,2.971945566411133,-0.10290432938358185,-0.08767266282454544,11.231469298245614,11.958333333333334,9.051919062932333,24,next_day_wind_model/artifacts/daily_error_details/20260511_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260510-071859_target_20260511.csv,day_ahead_frozen,prediction_log
2026-05-12,2026-06-09T11:09:24.580840+02:00,2026-05-10T07:02:23.765000+02:00,2026-05-10,1.9787280701754388,1.9455560801322,2.5165495048645434,2.5930331740213592,0.033171990043238786,-0.07648366915681581,11.380592105263156,12.4375,10.53913156191508,48,next_day_wind_model/artifacts/daily_error_details/20260512_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260511-071851_target_20260512.csv,day_ahead_frozen,prediction_log
2026-05-13,2026-06-09T11:09:24.580840+02:00,2026-05-11T07:02:25.072000+02:00,2026-05-11,2.8107287449392713,2.121688040451482,3.194229895281169,2.6080364579847495,0.6890407044877893,0.5861934372964197,7.343117408906882,9.26923076923077,7.788954624762902,26,next_day_wind_model/artifacts/daily_error_details/20260513_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260512-071903_target_20260513.csv,day_ahead_frozen,prediction_log
2026-05-14,2026-06-09T11:09:24.580840+02:00,2026-05-13T07:02:50.853000+02:00,2026-05-13,2.3890350877192983,1.9823467889375854,3.1952201107065132,2.430575758863889,0.40668829878171286,0.764644351842624,6.235964912280703,7.375,5.532197366158168,24,next_day_wind_model/artifacts/daily_error_details/20260514_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260513-072056_target_20260514.csv,day_ahead_frozen,prediction_log
2026-05-15,2026-06-09T11:09:24.580840+02:00,2026-05-14T07:02:51.137000+02:00,2026-05-14,2.6459429824561402,2.08963368493214,3.0279182923477124,2.4751952177087233,0.5563092975240003,0.5527230746389891,7.32905701754386,8.916666666666666,6.86562513311704,24,next_day_wind_model/artifacts/daily_error_details/20260515_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260514-072106_target_20260515.csv,day_ahead_frozen,prediction_log
2026-05-16,2026-06-09T11:09:24.580840+02:00,2026-05-15T07:02:52.448000+02:00,2026-05-15,3.1305921052631582,1.8741607552034811,3.7354110260105244,2.6966208022024105,1.256431350059677,1.038790223808114,6.327741228070175,7.875,6.804843833049138,24,next_day_wind_model/artifacts/daily_error_details/20260516_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260515-072100_target_20260516.csv,day_ahead_frozen,prediction_log
2026-05-17,2026-06-09T11:09:24.580840+02:00,2026-05-16T07:02:52.794000+02:00,2026-05-16,1.5109649122807018,1.7291971764020753,1.8447357471778918,2.085475319178649,-0.21823226412137342,-0.24073957200075724,6.489035087719298,6.25,5.428660104672114,24,next_day_wind_model/artifacts/daily_error_details/20260517_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260516-072108_target_20260517.csv,day_ahead_frozen,prediction_log
2026-05-18,2026-06-09T11:09:24.580840+02:00,2026-05-17T07:02:53.213000+02:00,2026-05-17,1.9723997493734338,2.18877344498957,2.5976306402355993,2.6176103557747803,-0.21637369561613617,-0.019979715539180987,5.606171679197995,5.166666666666667,3.5676897962888083,24,next_day_wind_model/artifacts/daily_error_details/20260518_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260517-072109_target_20260518.csv,day_ahead_frozen,prediction_log
2026-05-19,2026-06-09T11:09:24.580840+02:00,2026-05-18T07:02:53.718000+02:00,2026-05-18,2.01984649122807,0.8424986936544118,2.207128301511985,1.0290622550885808,1.1773477975736584,1.1780660464234043,6.938486842105263,8.625,6.520482937494914,24,next_day_wind_model/artifacts/daily_error_details/20260519_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260518-072115_target_20260519.csv,day_ahead_frozen,prediction_log
2026-05-20,2026-06-09T11:09:24.580840+02:00,2026-05-19T07:02:57.812000+02:00,2026-05-19,1.8691063596491226,3.5816062099055244,2.286246658398654,3.963031442446237,-1.7124998502564017,-1.676784784047583,12.050685307017545,11.208333333333334,8.46907909711202,24,next_day_wind_model/artifacts/daily_error_details/20260520_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260519-072119_target_20260520.csv,day_ahead_frozen,prediction_log
2026-05-21,2026-06-09T11:09:24.580840+02:00,2026-05-20T07:02:59.258000+02:00,2026-05-20,1.2857212475633528,2.0621498426048497,1.4636953752129607,2.470797448343208,-0.7764285950414969,-1.0071020731302474,7.050852826510721,6.708333333333333,5.535807638118665,24,next_day_wind_model/artifacts/daily_error_details/20260521_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260520-072119_target_20260521.csv,day_ahead_frozen,prediction_log
2026-05-22,2026-06-09T11:09:24.580840+02:00,2026-05-21T07:02:56.199000+02:00,2026-05-21,2.1107456140350878,1.4323659834893128,2.503104835618731,1.9394184891542379,0.678379630545775,0.5636863464644932,2.7225877192982453,4.625,3.599173419177532,24,next_day_wind_model/artifacts/daily_error_details/20260522_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260521-072126_target_20260522.csv,day_ahead_frozen,prediction_log
